accession	latitude	longitude	species
CW0010	12.05	-85.45	lycopersicum
CW0011	22.21666667	-97.85	lycopersicum
CW0012	20.16666667	-98.05	lycopersicum
CW0014	26.05	-109.3666667	lycopersicum
CW0016	9.15	-83.566667	lycopersicum
CW0018	-6.437777778	-76.58055556	lycopersicum
CW0019	-3.063055556	-78.48638889	lycopersicum
CW0020	-4.033333333	-78.88333333	lycopersicum
CW0021	21.8	-105.3333333	lycopersicum
CW0022	-13	-72.53333333	lycopersicum
CW0023	-4.026944444	-78.88277778	lycopersicum
CW0024	20.16666667	-98.05	lycopersicum
CW0025	20.86666667	-89.73333333	lycopersicum
CW0027	20.96666667	-89.63333333	lycopersicum
CW0028	-6.5	-76.35	lycopersicum
CW0029	10.01666667	-84.21666667	lycopersicum
CW0033	-6.1475	-76.83833333	lycopersicum
CW0034	13.91666667	-87.2	lycopersicum
CW0035	-1.046666667	-77.79527778	lycopersicum
CW0038	19.03333333	-96.23333333	lycopersicum
CW0039	-2.733333333	-79.91666667	lycopersicum
CW0040	-6.216666667	-76.85	lycopersicum
CW0041	14.3	-88.166667	lycopersicum
CW0042	21.33333333	-99.03333333	lycopersicum
CW0043	-13.63333333	-72.91666667	lycopersicum
CW0045	-2.303611111	-78.11888889	lycopersicum
CW0047	-5.9	-77.78333333	lycopersicum
CW0048	-2.481388889	-78.16194444	lycopersicum
CW0049	21.21666667	-89.8	lycopersicum
CW0051	-6.449444444	-76.47166667	lycopersicum
CW0052	-13	-72.53333333	lycopersicum
CW0053	-1.122777778	-77.82055556	lycopersicum
CW0054	25.741263	-99.673723	lycopersicum
CW0055	-13	-72.53333333	lycopersicum
CW0056	21.21666667	-89.8	lycopersicum
CW0057	-2.016791	-80.060473	lycopersicum
CW0058	9.935443	-84.108196	lycopersicum
CW0059	-6.449166667	-76.47277778	lycopersicum
CW0060	-1.036111111	-77.69111111	lycopersicum
CW0061	6.668644	-75.283289	lycopersicum
CW0063	-6.449166667	-76.47277778	lycopersicum
CW0064	-1.067222222	-77.78916667	lycopersicum
CW0065	20.26666667	-97.95	lycopersicum
CW0069	-1.723888889	-77.88055556	lycopersicum
CW0073	-6.133333333	-77.08333333	lycopersicum
CW0074	-0.911666667	-77.80722222	lycopersicum
CW0075	-3.063055556	-78.48638889	lycopersicum
CW0076	-2.542222222	-78.16666667	lycopersicum
CW0077	21.08333333	-89.61666667	lycopersicum
CW0079	20.31666667	-90.03333333	lycopersicum
CW0080	-6.433611111	-76.5075	lycopersicum
CW0081	21.9	-99.15	lycopersicum
CW0082	-1.237777778	-77.88027778	lycopersicum
CW0083	-3.630833333	-79.67972222	lycopersicum
CW0084	-2.615277778	-78.19833333	lycopersicum
CW0085	21.25	-89.03333333	lycopersicum
CW0086	-2.542222222	-78.16666667	lycopersicum
CW0087	-15.456389	-74.445833	lycopersicum
CW0088	-2.450555556	-78.16972222	lycopersicum
CW0089	-6.35	-76.65	lycopersicum
CW0090	21.21666667	-89.8	lycopersicum
CW0091	-6.315	-76.70111111	lycopersicum
CW0093	12.01666667	-84.65	lycopersicum
CW0094	21.13333333	-98.41666667	lycopersicum
CW0095	20.8	-89.4	lycopersicum
CW0096	4.472952	-75.672686	lycopersicum
CW0097	3.6625	-76.275556	lycopersicum
CW0098	-0.957222222	-77.81583333	lycopersicum
CW0099	-12.616667	-73.791667	lycopersicum
CW0101	20.16666667	-98.05	lycopersicum
CW0102	20.16666667	-98.05	lycopersicum
CW0104	-2.6125	-78.2225	lycopersicum
CW0106	-9.033333333	-74.48333333	lycopersicum
CW0107	21.2	-99.53333333	lycopersicum
CW0108	-1.700277778	-77.8425	lycopersicum
CW0109	-6.526111111	-76.30111111	lycopersicum
CW0111	-1.035	-77.78583333	lycopersicum
CW0112	20.68333333	-88.21666667	lycopersicum
CW0113	21.25	-99.11666667	lycopersicum
CW0115	21.21666667	-88.8	lycopersicum
CW0117	-3	-78	lycopersicum
CW0118	-6.183333333	-76.83333333	lycopersicum
CW0119	-12.616667	-73.791667	lycopersicum
CW0120	-3.670555556	-78.61222222	lycopersicum
CW0121	20.3	-89.41666667	lycopersicum
CW0122	21.28333333	-89.25	lycopersicum
CW0123	-3.833333333	-78.75	lycopersicum
CW0124	-2.620555556	-78.19861111	lycopersicum
CW0125	21.8	-105.3333333	lycopersicum
CW0126	-13	-72.53333333	lycopersicum
CW0129	-3.788333333	-78.75138889	lycopersicum
CW0130	20.48333333	-89.7	lycopersicum
CW0131	13.971247	-86.621684	lycopersicum
CW0132	13.81666667	-89.4	lycopersicum
CW0133	-6.449166667	-76.47277778	lycopersicum
CW0135	-2.016791	-80.060473	lycopersicum
CW0137	-2.388888889	-78.16972222	lycopersicum
CW0138	-2.733333	-79.916667	lycopersicum
CW0139	-4.033333333	-78.88333333	lycopersicum
CW0140	21.98333333	-98.98333333	lycopersicum
CW0141	16.85	-99.9	lycopersicum
CW0142	20.48333333	-89.7	lycopersicum
CW0143	20.18333333	-98.05	lycopersicum
CW0144	20.45	-97.31666667	lycopersicum
CW0145	-1.398333333	-78.38388889	lycopersicum
CW0146	-1.850555556	-77.8225	lycopersicum
CW0148	21.05	-98.5	lycopersicum
CW0149	22.38333333	-105.45	lycopersicum
CW0151	2.430176	-77.055015	lycopersicum
CW0153	-13.55	-72.61666667	lycopersicum
CW0154	-1.404444444	-78.30083333	lycopersicum
CW0155	11.06666667	-85.63333333	lycopersicum
CW0156	-9.93387	-76.680762	lycopersicum
CW0157	-1.809166667	-77.82916667	lycopersicum
CW0159	-11.69197	-75.292644	lycopersicum
CW0160	-13.06666667	-71.16666667	lycopersicum
CW0161	-3.666111111	-78.61027778	lycopersicum
CW0162	-13.55	-72.61666667	lycopersicum
CW0163	-2.751666667	-78.30472222	lycopersicum
CW0164	-1.318333333	-77.88888889	lycopersicum
CW0165	14.833333	-91.516667	lycopersicum
CW0166	9.9	-83.68333333	lycopersicum
CW0167	-6.420277778	-76.5175	lycopersicum
CW0168	-6.324444444	-76.68305556	lycopersicum
CW0169	-14.25444444	-69.21666667	lycopersicum
CW0174	9.930278	-84.091111	lycopersicum
CW0176	24.71666667	-107.7833333	lycopersicum
CW0177	-3.063055556	-78.48638889	lycopersicum
CW0178	-12.037299	-70.846773	lycopersicum
CW0179	-6.449444444	-76.47166667	lycopersicum
CW0181	20.45	-90.01666667	lycopersicum
CW1000	0.995	-79.56111111	pimpinellifolium
CW1001	0.583333	-77.933333	pimpinellifolium
CW1002	-5.601111111	-78.78	pimpinellifolium
CW1003	-5.589166667	-79.97027778	pimpinellifolium
CW1004	-4.401667	-79.4675	pimpinellifolium
CW1005	-0.125833333	-79.58527778	pimpinellifolium
CW1006	-3.308055556	-79.34805556	pimpinellifolium
CW1007	0.035833333	-79.95055556	pimpinellifolium
CW1008	-12.065833	-76.761667	pimpinellifolium
CW1009	-3.328333333	-79.60805556	pimpinellifolium
CW1010	-14.628889	-75.214167	pimpinellifolium
CW1011	-5.995	-79.7175	pimpinellifolium
CW1012	0.071111111	-80.05694444	pimpinellifolium
CW1013	-0.125555556	-80.21694444	pimpinellifolium
CW1014	-6.15	-79.716667	pimpinellifolium
CW1015	-0.083333	-79.75	pimpinellifolium
CW1016	-3.458333	-79.966667	pimpinellifolium
CW1017	-5.110556	-78.941944	pimpinellifolium
CW1018	-1.036111111	-77.69111111	pimpinellifolium
CW1019	-8.433333	-78.816667	pimpinellifolium
CW1020	0.8625	-79.8625	pimpinellifolium
CW1021	-0.183888889	-79.52083333	pimpinellifolium
CW1022	-5.171944444	-80.13861111	pimpinellifolium
CW1023	-5.1475	-80.27027778	pimpinellifolium
CW1024	-3.791388889	-79.61305556	pimpinellifolium
CW1025	-5.885555556	-78.17611111	pimpinellifolium
CW1026	-3.322777778	-79.83222222	pimpinellifolium
CW1027	-0.084444444	-79.68305556	pimpinellifolium
CW1028	-5.329444444	-79.91833333	pimpinellifolium
CW1029	0.005277778	-79.88333333	pimpinellifolium
CW1030	-6.034722222	-79.67694444	pimpinellifolium
CW1031	-0.301111111	-80.32916667	pimpinellifolium
CW1032	-4.892222222	-80.37527778	pimpinellifolium
CW1033	-5.775833	-78.783056	pimpinellifolium
CW1034	-0.092222222	-79.76055556	pimpinellifolium
CW1035	-5.278333333	-80.10583333	pimpinellifolium
CW1036	-16.4	-73.220833	pimpinellifolium
CW1037	-4.850277778	-80.84916667	pimpinellifolium
CW1038	-5.216667	-80.083333	pimpinellifolium
CW1039	0.989444444	-79.53361111	pimpinellifolium
CW1040	-8.170833	-79.004167	pimpinellifolium
CW2000	-0.133333	-91.366667	cheesmaniae
CW2001	-0.803889	-90.041667	cheesmaniae
CW2002	-0.75	-90.316667	cheesmaniae
CW2003	-0.352778	-91.558333	cheesmaniae
CW2004	-0.383333	-91.55	cheesmaniae
CW3000	-0.9775	-91.021111	galapagense
CW3001	-0.2	-90.75	galapagense
CW3002	-0.366667	-91.554167	galapagense
CW3003	0.583333	-90.783333	galapagense
CW3004	-0.284722	-90.554167	galapagense
CW3005	-1.333333	-90.295278	galapagense
